family,front_type,budget,view,quantile,parameter,parameter_kind,observed_n,elite_n,observed_unique,elite_unique,dominant_category,dominant_share
RE3D,referenceFronts,1000,HV,0.05,mutation,categorical,230,12,4,2,powerLaw,0.6666666666666666
RE3D,referenceFronts,1000,HV,0.1,mutation,categorical,230,23,4,3,powerLaw,0.5652173913043478
RE3D,referenceFronts,1000,HV,0.2,mutation,categorical,230,46,4,4,powerLaw,0.45652173913043476
RE3D,referenceFronts,1000,joint,0.05,mutation,categorical,230,12,4,2,levyFlight,0.75
RE3D,referenceFronts,1000,joint,0.1,mutation,categorical,230,23,4,3,levyFlight,0.7391304347826086
RE3D,referenceFronts,1000,joint,0.2,mutation,categorical,230,46,4,4,levyFlight,0.6086956521739131
RE3D,referenceFronts,1000,EP,0.05,mutationRepairStrategy,categorical,230,12,3,2,bounds,0.9166666666666666
RE3D,referenceFronts,1000,EP,0.1,mutationRepairStrategy,categorical,230,23,3,2,bounds,0.9130434782608695
RE3D,referenceFronts,1000,EP,0.2,mutationRepairStrategy,categorical,230,46,3,2,bounds,0.8913043478260869
RE3D,referenceFronts,1000,HV,0.05,mutationRepairStrategy,categorical,230,12,3,2,bounds,0.6666666666666666
RE3D,referenceFronts,1000,HV,0.1,mutationRepairStrategy,categorical,230,23,3,3,bounds,0.6956521739130435
RE3D,referenceFronts,1000,HV,0.2,mutationRepairStrategy,categorical,230,46,3,3,bounds,0.7391304347826086
RE3D,referenceFronts,1000,joint,0.05,mutationRepairStrategy,categorical,230,12,3,1,bounds,1.0
